Company Name,Website,Company Linkedin Url,Facebook Url,Twitter Url,City,State,Country,Company Address,Company City,Company State,Company Country,Company Phone,SEO Description,Technologies,Annual Revenue,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At
Startupcatz,http://www.startupcatz.com,http://www.linkedin.com/company/startupcatz,https://www.facebook.com/KanchanaMane2015,,Pune,Maharashtra,India,"509, Pune, Maharashtra, India, 411028",Pune,Maharashtra,India,,"Startupcatz is focused on building next generation young entrepreneurs by introducing them to STEM education, robotics , AI , IoT, 3D printing , programming , Fintech , Startups.","Gmail, Google Apps, Google Cloud Hosting, Wix, Mobile Friendly, Varnish",,,,,
Kenwaves,http://www.kenwaves.com,http://www.linkedin.com/company/kenwaves,https://www.facebook.com/KenwavesTechnologies,https://twitter.com/kenwavestech,Bengaluru,Karnataka,India,"Bengaluru, Karnataka, India, 560078",Bengaluru,Karnataka,India,,,"Google Font API, Google Tag Manager, Nginx, Mobile Friendly, WordPress.org",,,,,
Equity Venture Finance,http://www.equityvc.in,http://www.linkedin.com/company/equity-venture-finance-corporation,,,Mumbai,Maharashtra,India,"Baburao Pendharkar Marg, Mumbai, Maharashtra, India, 400030",Mumbai,Maharashtra,India,,,"Apache, Google Font API, reCAPTCHA, Bootstrap Framework, Mobile Friendly",,,,,
Jewelove,http://www.jewelove.in,http://www.linkedin.com/company/jewelove,http://www.facebook.com/Jewelove,,Jaipur,Rajasthan,India,"19 M D Road, Jaipur, Rajasthan, India, 302004",Jaipur,Rajasthan,India,-9828012908,,"Gmail, Google Apps, Amazon AWS, Shopify, Shopify Product Reviews, UPS, Mobile Friendly, Google Tag Manager",10000000,,,,
Domis Tech Private Limited,http://www.domistech.com,http://www.linkedin.com/company/domis-tech-private-limited,,,Noida,Uttar Pradesh,India,"Noida, Uttar Pradesh, India, 201301",Noida,Uttar Pradesh,India,1631237884,Delivering Superior Industrial Automation Solutions and Custom Application Development Worldwide.,"Outlook, Microsoft Office 365, Mobile Friendly, Google Maps, Bootstrap Framework, Google Maps (Non Paid Users), Google Font API",,,,,
Kavaye InfoTech Services,http://www.kavaye.com,http://www.linkedin.com/company/kavaye-infotech-services,,,Rajkot,Gujarat,India,"Rajkot, Gujarat, India, 360005",Rajkot,Gujarat,India,,,"Zoho Email, Mobile Friendly, Google Font API, Google Maps, Google Tag Manager, SAP, ",,,,,
Dreamzz InfoTech,http://www.dreamzzinfotech.com,http://www.linkedin.com/company/dreamzz-infotech,https://www.facebook.com/DREAMZZINFOTECHOFFICIAL,https://twitter.com/DreamzzInfoTech,Mumbai,Maharashtra,India,"20 New Link Road, Mumbai, Maharashtra, India, 400053",Mumbai,Maharashtra,India,9.19769E+11,,"Cloudflare DNS, CloudFlare Hosting, Bootstrap Framework, Google Tag Manager, Mobile Friendly",3629000,,,,
Thinklayer,http://www.thinklayer.com,http://www.linkedin.com/company/thinklayer,,,Bengaluru,Karnataka,India,"Industrial Town Road, Bengaluru, Karnataka, India, 560044",Bengaluru,Karnataka,India,,,"Cloudflare DNS, Outlook, Microsoft Office 365, Google Cloud Hosting, SAP",7000000,,,,
Aiddition,http://www.aiddition.com,http://www.linkedin.com/company/aiddition-technologies,,,Bengaluru,Karnataka,India,"395 7th Main Road, Bengaluru, Karnataka, India, 560010",Bengaluru,Karnataka,India,+91 91486 72725,All-In-One Interactive Display manufacturer (OEM) and Interactive Digital Signage Software provider from India. Contact us for the queries and orders.,"Gmail, Google Apps, Mobile Friendly, Google Tag Manager, WordPress.org, reCAPTCHA, Google Maps (Non Paid Users), Google Font API, Nginx, Google Maps, YouTube, , SAP",,,,,
NoBounds Technology,http://www.noboundstech.com,http://www.linkedin.com/company/nobounds-tech-pvt-ltd,https://www.facebook.com/noboundstech,,Kolkata,West Bengal,India,"Kolkata, West Bengal, India",Kolkata,West Bengal,India,,,"Bootstrap Framework, Mobile Friendly, Google Font API, SAP, Data Analytics",,,,,
Zenoxx Knowledge Services Private Limited,http://www.zenoxxknowledge.com,http://www.linkedin.com/company/zenoxx-knowledge-services-private-limited,,,Ghaziabad,Uttar Pradesh,India,"New Delhi, Delhi, India, 110001",New Delhi,Delhi,India,,"Zenoxxknowledge is one of the leading Corporate Training & IT Training Certification providers, offers corporate training courses to help professionals in india, UK, and US.","Gmail, Google Apps, Google Maps, Google Font API, WordPress.org, Google Tag Manager, Shutterstock, Google Analytics, Mobile Friendly, Google Workspace, , , Docker",,,,,
Fennec,http://www.fennecstudios.co.uk,http://www.linkedin.com/company/fennec-technologies,,,Bengaluru,Karnataka,India,"78 East End D Main Road, Bengaluru, Karnataka, India, 560069",Bengaluru,Karnataka,India,,,"Gmail, Google Apps, GoDaddy Hosting, ",,,,,
WEBSAMG,http://www.websamg.com,http://www.linkedin.com/company/websamg,https://www.facebook.com/websamg,https://twitter.com/websamg,Noida,Uttar Pradesh,India,"Main Bazar Road, New Delhi, Delhi, India, 110091",New Delhi,Delhi,India,+91 8882401401,"WEBSAMG is a leading and most popular Branding, Digital Marketing & Mobile Application Development Company in Delhi which aims at providing its clients more than what they expect to get.","Google Font API, Mobile Friendly, Apache, IoT, Metamask",,,,,
Udvavisk Technologies Pvt,http://www.udvavisk.com,http://www.linkedin.com/company/udvavisk-technologies-pvt--ltd-,https://www.facebook.com/Udvavisk-Technologies-Pvt-Ltd-460211667476342/,,Chennai,Tamil Nadu,India,"340 Velachery Main Road, Chennai, Tamil Nadu, India, 600042",Chennai,Tamil Nadu,India,+91 44 4311 4224,,"Gmail, Google Apps, Google Font API, reCAPTCHA, Mobile Friendly, WordPress.org, Apache",,,,,
Quadratyx,http://www.quadratyx.com,http://www.linkedin.com/company/quadratyx,https://www.facebook.com/Quadratyx,https://twitter.com/Quadratyx,Hyderabad,Telangana,India,"15 Green Hamlet Road, Hyderabad, Telangana, India, 500084",Hyderabad,Telangana,India,85687,,"Outlook, Microsoft Office 365, Google Tag Manager, WordPress.org, Google Analytics, Mobile Friendly, Google Font API, Nginx, Bootstrap Framework, Apache, SAP",4000000,,,,
Florista India Pvt,http://www.florista.in,http://www.linkedin.com/company/florista-india-pvt--ltd,https://www.facebook.com/florista.in,https://twitter.com/floristaIN,Mumbai,Maharashtra,India,"A-2, Mumbai, Maharashtra, India, 400013",Mumbai,Maharashtra,India,+91 22 4344 9000,"flowers to India, chocolates , cakes and gifts all India. Same Day delivery, All India flower delivery, flowers to Mumbai, flowers to Pune, Online flowers to Mumbai, Mumbai florist, florist in Mumbai, flower decoration, event decor, flowers for wedding, flowers for home, Valentine Day roses","Gmail, Google Apps, Shopify Product Reviews, UPS, Shopify, Bootstrap Framework, Mobile Friendly, Vimeo",,,,,
Sresol,http://www.sresol.com,http://www.linkedin.com/company/sresol,https://www.facebook.com/sresole,https://twitter.com/sresole,,Telangana,India,"Sanathnagar Road, Hyderabad, Telangana, India, 500018",Hyderabad,Telangana,India,,"Sresol Technology Solutions has expertise in providing documentum services, documentum services, sharepoint consultants, sharepoint migration as document management companies","Gmail, Google Apps, Microsoft Office 365, GoDaddy Hosting, Microsoft-IIS, Webex, ASP.NET, Google AdSense, DoubleClick, Google AdWords Conversion, Right Media (Yahoo Ads), ValueClick Mediaplex, Google Tag Manager, Mobile Friendly, Google Analytics",,,,,
Printrove Products Pvt,http://www.printrove.com,http://www.linkedin.com/company/printrove,https://www.facebook.com/printrove,,Chennai,Tamil Nadu,India,"44 Erulappan Street, Chennai, Tamil Nadu, India, 600079",Chennai,Tamil Nadu,India,+91 84484 44794,"White labelled, print-on-demand and drop shipping solution. Sell t-shirts, phone cases, mugs and more. Ships within 48 hours. No need to stock up inventory. No minimum order. Shipped under your own brand name with custom branding options. Plugins for Shopify, Woocommerce and other platforms with custom API.","Cloudflare DNS, DigitalOcean, Nginx, Woo Commerce, Google Tag Manager, YouTube, WordPress.org, Mobile Friendly, Google Font API",,,,,
DataSherpa.io,http://www.datasherpa.io,http://www.linkedin.com/company/datasherpa.io,https://www.facebook.com/DataSherpaio-278338892519498/,https://twitter.com/datasherpadotio,Pune,Maharashtra,India,"Pune, Maharashtra, India",Pune,Maharashtra,India,,"DataSherpa is a big data & Advanced analytics company that helps businesses of all sizes manage data, gather insights and take decisions that drive success, growth and c","Cloudflare DNS, Nginx, Google Analytics, Bootstrap Framework, Google Font API, Mobile Friendly",,,,,
BOSS Webtech Private Limited,http://www.bosswebtech.com,http://www.linkedin.com/company/boss-webtech-private-limited,,,Noida,Uttar Pradesh,India,"68 Sector 63 Road, Noida, Uttar Pradesh, India, 201307",Noida,Uttar Pradesh,India,+91 120 428 1595,,"Outlook, GoDaddy Hosting, Paypal, Mobile Friendly, iTunes, Google Font API, Google Play, Bootstrap Framework, Apache",,,,,
HumInt Consulting Private Limited,http://www.humintindia.com,http://www.linkedin.com/company/humint-consulting-private-limited,,,Hyderabad,Telangana,India,"40 Reddy Colony Road, Hyderabad, Telangana, India, 500050",Hyderabad,Telangana,India,+91 40 4240 7496,,"Cloudflare DNS, Gmail, Google Apps, CloudFlare Hosting",,,,,
GuruTAP,http://www.gurutap.in,http://www.linkedin.com/company/gurutap,,,Mumbai,Maharashtra,India,"Veera Desai Road, Mumbai, Maharashtra, India, 400058",Mumbai,Maharashtra,India,-9833783988,,"Gmail, Google Apps, Google Maps, Mobile Friendly, Intive Referrals, Google Font API, Google Places, WordPress.org, Woo Commerce, Bootstrap Framework, jPlayer, Nginx",,,,,
Centum Technologies Private Limited,http://www.centumtech.com,http://www.linkedin.com/company/centum-technologies-private-limited,https://facebook.com/CentumTech,https://twitter.com/centumtech,Bengaluru,Karnataka,India,"45 Sanjay Nagar Main Road, Bengaluru, Karnataka, India, 560094",Bengaluru,Karnataka,India,9.19193E+13,"Centum Technologies offering Web Hosting Services, Domain Registration and Web Designing, Development based on Bangalore India.","Cloudflare DNS, Gmail, Google Apps, Datadog, Mobile Friendly, WordPress.org, Google Font API, Apache, reCAPTCHA, SAP",5808000,,,,
V360,http://www.vusic360.com,http://www.linkedin.com/company/vusic360india,https://www.facebook.com/vusic360/,https://twitter.com/vusic360,,Delhi,India,"New Delhi, Delhi, India, 110074",New Delhi,Delhi,India,,V360 is a creative design house based in New Delhi. We come up with strong and distinct brand identities based on research and creative innovation.,"Google Cloud Hosting, Wix, Mobile Friendly, Varnish",,,,,
KleverMIND,http://www.klevermind.com,http://www.linkedin.com/company/klevermind,https://www.facebook.com/klevermindcom/,https://twitter.com/KleverMindcom,,Delhi,India,"New Delhi, Delhi, India, 110001",New Delhi,Delhi,India,,"Flexible Corporate and Employee Transportation services for all your mobility needs ! Partner with KleverMIND for premium Airport, Outstation, Local and corporate car,Tempo traveller rental services.","Route 53, Gmail, Google Apps, Microsoft Office 365, Amazon AWS, WordPress.org, JQuery 1.11.1, Google Font API, Bootstrap Framework, Google Maps (Non Paid Users), Google Tag Manager, Ubuntu, Apache, Google Maps, IoT",,,,,
Switchy,http://www.switchy.in,http://www.linkedin.com/company/switchy.in,,,Bengaluru,Karnataka,India,"Bengaluru, Karnataka, India, 560064",Bengaluru,Karnataka,India,9.1962E+11,"Switchy - India’s most reliable Smart Home Brand. We offer reliable, affordable smart home automation products manufactured completely in Bangalore,India. You can control your home using your phone or voice from anywhere in the world.","Amazon CloudFront, Route 53, Outlook, Microsoft Office 365, Amazon AWS, Hubspot, Bootstrap Framework, Mobile Friendly, YouTube, reCAPTCHA, Google Tag Manager, Google Play, Render",,,,,
Iranshi Technology,http://www.iranshitechnology.com,http://www.linkedin.com/company/iranshi-technology-llp,https://www.facebook.com/IranshiTechnologyLLP,https://twitter.com/iranshitechllp,Vadodara,Gujarat,India,"Vadodara, Gujarat, India",Vadodara,Gujarat,India,,,"Facebook Custom Audiences, Google Tag Manager, Mobile Friendly, Facebook Widget, Google AdSense, Facebook Login (Connect), WordPress.org",,,,,
Meghana IT Services,http://www.meghanaits.com,http://www.linkedin.com/company/meghana-it-services-llp,https://www.facebook.com/MeghanaITS,https://twitter.com/MeghanaITS1,Chennai,Tamil Nadu,India,"1st Seaward Road, Chennai, Tamil Nadu, India, 600041",Chennai,Tamil Nadu,India,+91 44 2445 2501,"Meghana IT Services is a global Software Development and Information Technology Services company. Meghana offers Application Development, Web Services & Hosting, IT Support, Data Services, HR Services, Mobile Interface, Business Process/ Project Outsourcing.","Apache, Google Analytics",1500000,,,,
SquadLogic,http://www.squadlogic.in,http://www.linkedin.com/company/squadlogic,,,Pune,Maharashtra,India,"Pimpri-Chinchwad, Maharashtra, India, 411017",Pimpri-Chinchwad,Maharashtra,India,,,"Bootstrap Framework, Google Tag Manager, Google Font API, WordPress.org, Mobile Friendly",,,,,
ViaSocket,http://www.viasocket.com,http://www.linkedin.com/company/viasocket-walkover,,,Indore,Madhya Pradesh,India,"Indore, Madhya Pradesh, India, 452007",Indore,Madhya Pradesh,India,,,"Cloudflare DNS, Sendgrid, Gmail, Google Apps, CloudFlare Hosting, Mixpanel, Stripe, AWS SDK for JavaScript, Typeform, React Redux, React, WordPress.org, Google Font API, Bootstrap Framework, YouTube, Intercom, Google Tag Manager, Mobile Friendly, FullStory, Wistia, Hotjar",,,,,
Chakra Cloud Security Solutions,http://www.chakrasecure.com,http://www.linkedin.com/company/chakra-cloud-security-solutions,http://www.facebook.com/wix,http://www.twitter.com/wix,Bengaluru,Karnataka,India,"Bengaluru, Karnataka, India",Bengaluru,Karnataka,India,,"Face Mask Detection
Distancing Detection
Occupancy Detection
Temperature Detection
Vaidio's 4th generation AI makes video monitoring, security alerts, health screening and forensic investigation more accurate, more automated, and more affordable - and helps make your business safer and more secure.","Outlook, Google Cloud Hosting, Varnish, Shutterstock, Mobile Friendly, Wix",,,,,
Websquare Technology,http://www.websquare.co,http://www.linkedin.com/company/web-square,,,Noida,Uttar Pradesh,India,"Noida Golf Course Road, Noida, Uttar Pradesh, India, 201303",Noida,Uttar Pradesh,India,,This domain may be for sale!,"Google AdSense, DoubleClick, Nginx, Mobile Friendly, ",,,,,
Digit Software Solutions,http://www.digitsoftsol.com,http://www.linkedin.com/company/digit-software-solutions,https://www.facebook.com/thewebfusion/,,Surat,Gujarat,India,"Utran Gam Road, Surat, Gujarat, India, 394105",Surat,Gujarat,India,+91 70164 33416,,"Outlook, Microsoft Office 365, Mobile Friendly, WordPress.org, Google Font API, Google Workspace",,,,,
Ace Technosys,http://www.acetechnosys.com,http://www.linkedin.com/company/acetechnosys,https://www.facebook.com/Sunrisers.Global,,Mumbai,Maharashtra,India,"Pottery Road, Bengaluru, Karnataka, India, 560005",Bengaluru,Karnataka,India,,Ace Technosys is a technology-driven digital service company. We are also a web and mobile app development company. We provide complete...,"Mobile Friendly, WordPress.org, Google Play",,,,,
Polymart Private Limited,http://www.polymart.in,http://www.linkedin.com/company/polymart-private-limited,https://www.facebook.com/B2BPolymerExchange,,Ahmedabad,Gujarat,India,"Surdhara Sattadhar Road, Ahmedabad, Gujarat, India, 380054",Ahmedabad,Gujarat,India,,,"Gmail, Google Apps, Amazon AWS, Google Play, Woo Commerce, Google Tag Manager, Bootstrap Framework, YouTube, Cloudinary, Google Font API, Mobile Friendly, Apache, WordPress.org, SAP, Data Analytics",,,,,
Furtim Technologies Private Limited,http://www.furtimtechnologies.com,http://www.linkedin.com/company/furtim-technologies-private-limited,http://www.facebook.com/Furtim-Technologies-Private-Limited-254959228245777/,http://twitter.com/FurtimTech,Chennai,Tamil Nadu,India,"Chennai, Tamil Nadu, India",Chennai,Tamil Nadu,India,,,"Outlook, Microsoft Office 365, Amazon AWS, Woo Commerce, WordPress.org, Google Font API, Mobile Friendly, Apache, Jumpcloud",,,,,
infiniValue Pvt,http://www.infinivalue.com,http://www.linkedin.com/company/infinivalue-pvt-ltd,,https://twitter.com/InfiniValueInfo,Bengaluru,Karnataka,India,"Bannerghatta Road, Bengaluru, Karnataka, India, 560076",Bengaluru,Karnataka,India,,"INFINIVALUE TRUSTED PARTNER IN ERP, SAP, S4/HANA, SALESFORCE, MICROSOFT, AWS, IOT, ANALYTICS","Google Cloud Hosting, Wix, Varnish, Mobile Friendly, , SAP",,,,,
SARANI Retail And Marketing Private Limited,http://www.sarani.co.in,http://www.linkedin.com/company/sarani-retail-and-marketing-private-limited,,,,Delhi,India,India,,,India,,,"Gmail, Google Apps, Google Cloud Hosting, Google AdSense, Mobile Friendly, Google Workspace, ",,,,,
Intelligence7,http://www.intelligence7.in,http://www.linkedin.com/company/intelligence7,https://www.facebook.com/intelligence7stockmarketinstitute/,https://twitter.com/intelligence7,Mumbai,Maharashtra,India,"Bengaluru, Karnataka, India, 560001",Bengaluru,Karnataka,India,,Are You looking For The Best Stock Marketing Training Institute in Bangalore? Intelligence 7 Provides Top Notch Knowledge Which Helps To Learn,"Google Font API, Woo Commerce, Mobile Friendly, WordPress.org, reCAPTCHA, Google Tag Manager, , React Native",,,,,
Handyland,http://www.handyland.in,http://www.linkedin.com/company/handyland,https://www.facebook.com/HandylandDesign/,,,Delhi,India,"New Delhi, Delhi, India, 110001",New Delhi,Delhi,India,+91 97179 52294,"A creative digital agency working on Web, Mobile, Design & Consulting Projects with a focus on User Experience.","Cloudflare DNS, Gmail, Google Apps, CloudFlare Hosting, Google Font API, Mobile Friendly, Google Tag Manager, Bootstrap Framework, WordPress.org, reCAPTCHA",,,,,
QDesk Data Solution & Services,http://www.qdeskdss.com,http://www.linkedin.com/company/qdeskdss,,,Lucknow,Uttar Pradesh,India,"Lucknow, Uttar Pradesh, India, 226002",Lucknow,Uttar Pradesh,India,+91(315) 557-0040,,"DigitalOcean, Google Font API, Mobile Friendly, WordPress.org",,,,,
Natsav,http://www.natsav.com,http://www.linkedin.com/company/natsav-the-solution-provider,https://www.facebook.com/natsavindia,https://twitter.com/NatSavindia,Jaipur,Rajasthan,India,"Devi Marg, Jaipur, Rajasthan, India, 302016",Jaipur,Rajasthan,India,12622288386,"Natsav provides complete web hosting, WordPress hosting, cloud hosting, and email hosting services. We offer our services to the clients at the lowest price. Choose us!","Cloudflare DNS, Gmail, Google Apps, Nginx, Apache, Stripe, Bootstrap Framework, Mobile Friendly, Google Font API, Google Analytics, reCAPTCHA, Google Tag Manager, ",3923000,,,,
ArtWorksIT,http://www.artworksit.com,http://www.linkedin.com/company/artworksit,,,Bengaluru,Karnataka,India,"Bengaluru, Karnataka, India",Bengaluru,Karnataka,India,+91 95386 90813,We Build Brands,"Cloudflare DNS, Outlook, Microsoft Office 365, reCAPTCHA, Mobile Friendly, Google Maps, Google Font API, Google Maps (Non Paid Users), Nginx, SAP, IoT, Data Analytics, , , React Native",,,,,
Ameyem Geo Solutions,http://www.ameyem.com,http://www.linkedin.com/company/ameyem-geo-solutions,,,Gurugram,Haryana,India,"26/B No 9 Road, Hyderabad, Telangana, India, 500070",Hyderabad,Telangana,India,,"Geophysical and Geological services provider & Computer skill training center, Online Training, Telangana and Andhrapradesh, India","Mobile Friendly, Google Analytics, Bootstrap Framework",,,,,
IoTracX,http://www.iotracx.com,http://www.linkedin.com/company/iotracx,,,,,Cyprus,"Bengaluru, Karnataka, India, 560001",Bengaluru,Karnataka,India,+1 908-740-4000,,"DigitalOcean, Mobile Friendly, ShareThis, WordPress.org, Nginx, Google Font API",,,,,
Symtotal,http://www.symtotal.com,http://www.linkedin.com/company/symtotal,,,,,Australia,"Mumbai, Maharashtra, India, 400028",Mumbai,Maharashtra,India,,,"Gmail, Google Apps, reCAPTCHA, Apache, Mobile Friendly, Bootstrap Framework, ",,,,,
ACUMEN JURIS,http://www.acumenjuris.com,http://www.linkedin.com/company/acumenjuris,,,,Delhi,India,"D/112, New Delhi, Delhi, India, 110017",New Delhi,Delhi,India,+91 11 4987 9479,,"Outlook, Mobile Friendly, Google translate API, Google translate widget, Google Maps, SoundCloud, Bootstrap Framework, GoDaddy Verified, Apache",,,,,
i-Quall Infoweb,http://www.i-quall.com,http://www.linkedin.com/company/i-quall-infoweb,,,Rajkot,Gujarat,India,"Rajkot, Gujarat, India, 360001",Rajkot,Gujarat,India,,"i-Quall Infoweb provides complete Web Development and Mobile App Development services. Hire dedicated developers expert in Laravel, Codeigniter, Angular, React, API and more.","Gmail, Google Apps, JQuery 1.11.1, Bootstrap Framework, WordPress.org, Mobile Friendly, Google Font API, Google Analytics, Skype Widget",,,,,
Mask Venture,http://www.maskventures.co.in,http://www.linkedin.com/company/mask-venture,,,Mumbai,Maharashtra,India,"मुंबई, महाराष्ट्र, India, 400101",मुंबई,महाराष्ट्र,India,,,"Cloudflare DNS, CloudFlare Hosting, Bootstrap Framework, Google Font API, reCAPTCHA, WordPress.org, Mobile Friendly",,,,,
Vaaree,http://www.vaaree.com,http://www.linkedin.com/company/vaareehome,https://www.facebook.com/vaareehome,https://twitter.com/vaareehome,Bengaluru,Karnataka,India,"Bannerghatta Road, Bengaluru, Karnataka, India, 560076",Bengaluru,Karnataka,India,+91 85508 22733,"Get Upto 60% Off, Buy home decor, kitchen, and garden products online in India. Vaaree offers Popular Bedsheets, Lamps, Pooja Essentials, Cozy Comforters, and more at the best prices.","Gmail, Google Apps, Shopify, Google Font API, Apache, Mobile Friendly, Google Tag Manager, Bootstrap Framework",,,Other,,8/1/2022
Drivedge Infosolutions,http://www.drivedge.com,http://www.linkedin.com/company/drivedge,https://facebook.com/drivedge,https://twitter.com/Drivedge,Carlsbad,California,United States,"Maharshi Karve Road, Pune, Maharashtra, India, 411038",Pune,Maharashtra,India,+91(425) 638-3634,,"Cloudflare DNS, Outlook, SAP",4774000,,,,
Marudhar Packaging,http://www.marudharpackaging.com,http://www.linkedin.com/company/marudhar-packaging,,,Bengaluru,Karnataka,India,"22 1st Main Road, Bengaluru, Karnataka, India, 560058",Bengaluru,Karnataka,India,9.19199E+13,,"Gmail, Google Apps, Apache, SAP, SAP B1, Webmail, Micro, Avaya",,,,,
Excellence4u Worldwide,http://www.excellence4u.in,http://www.linkedin.com/company/excellence4u-worldwide,https://facebook.com/excellence4uworldwide/info/?tab=overview,https://twitter.com/Excellence4u1,Bengaluru,Karnataka,India,"100 FT Ring Road, Bengaluru, Karnataka, India, 560047",Bengaluru,Karnataka,India,+91 80 4112 8761,,Google Cloud Hosting,3000000,,,,
Proceso,http://www.proceso.in,http://www.linkedin.com/company/procesoprocessautomation,,,Pune,Maharashtra,India,"Pune, Maharashtra, India",Pune,Maharashtra,India,9.1989E+11,,"Outlook, CloudFlare Hosting, YouTube, Google Tag Manager, Mobile Friendly, Gravity Forms, Google Font API, Google Analytics, WordPress.org",,,,,
